Age_Group,Occupation,Population_Estimate,Percentage_within_Age,Percentage_within_Occupation
16 to 19,1137 Information technology directors,155.0,0,0.1
16 to 19,2131 IT project managers,40.0,0,0.1
16 to 19,2132 IT managers,235.0,0,0.2
16 to 19,"2133 IT business analysts, architects and systems designers",280.0,0,0.3
16 to 19,2134 Programmers and software development professionals,1530.0,0.2,0.6
16 to 19,2135 Cyber security professionals,175.0,0,0.8
16 to 19,2136 IT quality and testing professionals,90.0,0,0.5
16 to 19,2137 IT network professionals,150.0,0,0.9
16 to 19,2139 Information technology professionals n.e.c.,220.0,0,0.3
20 to 24,1137 Information technology directors,795.0,0,0.7
20 to 24,2131 IT project managers,800.0,0,2.3
20 to 24,2132 IT managers,2530.0,0.1,1.7
20 to 24,"2133 IT business analysts, architects and systems designers",4345.0,0.2,4
20 to 24,2134 Programmers and software development professionals,23860.0,1.1,9
20 to 24,2135 Cyber security professionals,1640.0,0.1,7.8
20 to 24,2136 IT quality and testing professionals,980.0,0,5.6
20 to 24,2137 IT network professionals,1150.0,0.1,6.9
20 to 24,2139 Information technology professionals n.e.c.,3500.0,0.2,4.4
25 to 29,1137 Information technology directors,3240.0,0.1,2.9
25 to 29,2131 IT project managers,3310.0,0.1,9.4
25 to 29,2132 IT managers,10050.0,0.3,6.9
25 to 29,"2133 IT business analysts, architects and systems designers",11210.0,0.4,10.2
25 to 29,2134 Programmers and software development professionals,47175.0,1.5,17.9
25 to 29,2135 Cyber security professionals,2935.0,0.1,13.9
25 to 29,2136 IT quality and testing professionals,2485.0,0.1,14.2
25 to 29,2137 IT network professionals,1945.0,0.1,11.7
25 to 29,2139 Information technology professionals n.e.c.,7530.0,0.2,9.4
30 to 34,1137 Information technology directors,8140.0,0.2,7.2
30 to 34,2131 IT project managers,4545.0,0.1,12.9
30 to 34,2132 IT managers,17155.0,0.5,11.7
30 to 34,"2133 IT business analysts, architects and systems designers",14220.0,0.4,13
30 to 34,2134 Programmers and software development professionals,47080.0,1.4,17.8
30 to 34,2135 Cyber security professionals,2735.0,0.1,13
30 to 34,2136 IT quality and testing professionals,3450.0,0.1,19.7
30 to 34,2137 IT network professionals,2325.0,0.1,13.9
30 to 34,2139 Information technology professionals n.e.c.,8590.0,0.3,10.7
35 to 39,1137 Information technology directors,15270.0,0.5,13.6
35 to 39,2131 IT project managers,5500.0,0.2,15.6
35 to 39,2132 IT managers,23150.0,0.7,15.8
35 to 39,"2133 IT business analysts, architects and systems designers",18190.0,0.6,16.6
35 to 39,2134 Programmers and software development professionals,41485.0,1.3,15.7
35 to 39,2135 Cyber security professionals,2940.0,0.1,13.9
35 to 39,2136 IT quality and testing professionals,3405.0,0.1,19.4
35 to 39,2137 IT network professionals,2580.0,0.1,15.5
35 to 39,2139 Information technology professionals n.e.c.,10565.0,0.3,13.2
40 to 44,1137 Information technology directors,20610.0,0.7,18.3
40 to 44,2131 IT project managers,5530.0,0.2,15.7
40 to 44,2132 IT managers,25265.0,0.8,17.3
40 to 44,"2133 IT business analysts, architects and systems designers",17695.0,0.6,16.1
40 to 44,2134 Programmers and software development professionals,32585.0,1.1,12.3
40 to 44,2135 Cyber security professionals,3115.0,0.1,14.8
40 to 44,2136 IT quality and testing professionals,2515.0,0.1,14.4
40 to 44,2137 IT network professionals,2485.0,0.1,14.9
40 to 44,2139 Information technology professionals n.e.c.,12060.0,0.4,15.1
45 to 49,1137 Information technology directors,21640.0,0.7,19.2
45 to 49,2131 IT project managers,5350.0,0.2,15.2
45 to 49,2132 IT managers,24690.0,0.8,16.9
45 to 49,"2133 IT business analysts, architects and systems designers",15830.0,0.5,14.4
45 to 49,2134 Programmers and software development professionals,26400.0,0.9,10
45 to 49,2135 Cyber security professionals,2880.0,0.1,13.7
45 to 49,2136 IT quality and testing professionals,1815.0,0.1,10.4
45 to 49,2137 IT network professionals,2135.0,0.1,12.8
45 to 49,2139 Information technology professionals n.e.c.,11850.0,0.4,14.8
50 to 54,1137 Information technology directors,18505.0,0.6,16.5
50 to 54,2131 IT project managers,4670.0,0.1,13.2
50 to 54,2132 IT managers,21745.0,0.7,14.8
50 to 54,"2133 IT business analysts, architects and systems designers",13450.0,0.4,12.3
50 to 54,2134 Programmers and software development professionals,20890.0,0.6,7.9
50 to 54,2135 Cyber security professionals,2345.0,0.1,11.1
50 to 54,2136 IT quality and testing professionals,1245.0,0,7.1
50 to 54,2137 IT network professionals,1870.0,0.1,11.2
50 to 54,2139 Information technology professionals n.e.c.,10680.0,0.3,13.3
55 to 59,1137 Information technology directors,12890.0,0.4,11.5
55 to 59,2131 IT project managers,3545.0,0.1,10
55 to 59,2132 IT managers,13865.0,0.5,9.5
55 to 59,"2133 IT business analysts, architects and systems designers",8965.0,0.3,8.2
55 to 59,2134 Programmers and software development professionals,13785.0,0.5,5.2
55 to 59,2135 Cyber security professionals,1545.0,0.1,7.3
55 to 59,2136 IT quality and testing professionals,900.0,0,5.1
55 to 59,2137 IT network professionals,1330.0,0,8
55 to 59,2139 Information technology professionals n.e.c.,7855.0,0.3,9.8
60 to 64,1137 Information technology directors,6850.0,0.4,6.1
60 to 64,2131 IT project managers,1640.0,0.1,4.7
60 to 64,2132 IT managers,6010.0,0.3,4.1
60 to 64,"2133 IT business analysts, architects and systems designers",4155.0,0.2,3.8
60 to 64,2134 Programmers and software development professionals,6750.0,0.4,2.6
60 to 64,2135 Cyber security professionals,615.0,0,2.9
60 to 64,2136 IT quality and testing professionals,485.0,0,2.8
60 to 64,2137 IT network professionals,560.0,0,3.4
60 to 64,2139 Information technology professionals n.e.c.,4460.0,0.2,5.6
65 to 69,1137 Information technology directors,2730.0,0.4,2.4
65 to 69,2131 IT project managers,305.0,0,0.9
65 to 69,2132 IT managers,1345.0,0.2,0.9
65 to 69,"2133 IT business analysts, architects and systems designers",985.0,0.1,0.9
65 to 69,2134 Programmers and software development professionals,1865.0,0.3,0.7
65 to 69,2135 Cyber security professionals,145.0,0,0.7
65 to 69,2136 IT quality and testing professionals,110.0,0,0.6
65 to 69,2137 IT network professionals,120.0,0,0.7
65 to 69,2139 Information technology professionals n.e.c.,1750.0,0.2,2.2
70 to 74,1137 Information technology directors,1155.0,0.4,1
70 to 74,2131 IT project managers,55.0,0,0.2
70 to 74,2132 IT managers,270.0,0.1,0.2
70 to 74,"2133 IT business analysts, architects and systems designers",170.0,0.1,0.2
70 to 74,2134 Programmers and software development professionals,510.0,0.2,0.2
70 to 74,2135 Cyber security professionals,20.0,0,0.1
70 to 74,2136 IT quality and testing professionals,20.0,0,0.1
70 to 74,2137 IT network professionals,20.0,0,0.1
70 to 74,2139 Information technology professionals n.e.c.,685.0,0.2,0.9
75 and over,1137 Information technology directors,455.0,0.3,0.4
75 and over,2131 IT project managers,20.0,0,0.1
75 and over,2132 IT managers,110.0,0.1,0.1
75 and over,"2133 IT business analysts, architects and systems designers",70.0,0,0.1
75 and over,2134 Programmers and software development professionals,160.0,0.1,0.1
75 and over,2135 Cyber security professionals,10.0,0,0
75 and over,2136 IT quality and testing professionals,,[c],[c]
75 and over,2137 IT network professionals,,[c],[c]
75 and over,2139 Information technology professionals n.e.c.,260.0,0.2,0.3
