timestamp,stage,candidate_index,Gender,Experience,Test_Score,Interview_Score,decision
1743431011.6220531,Stage 1,1,Male,6,50,7,Reject & Distrust
1743431023.7569923,Stage 1,2,Female,6,50,7,Reject & Distrust
1743431032.485224,Stage 1,3,Male,8,90,9,Accept & Trust
1743431047.363046,Stage 1,4,Female,8,90,9,Accept & Trust
1743431088.0710244,Stage 2,1,Male,6,50,7,Reject & Distrust
1743431108.6734498,Stage 2,2,Female,6,50,7,Accept & Trust
1743431120.888723,Stage 2,3,Male,8,90,9,Accept & Trust
1743431132.8929238,Stage 2,4,Female,8,90,9,Accept & Trust
1743431146.0323286,Stage 3,1,Male,6,50,7,Reject & Distrust
1743431157.0241086,Stage 3,2,Female,6,50,7,Reject & Distrust
1743431165.8146653,Stage 3,3,Male,8,90,9,Accept & Trust
1743431170.6414738,Stage 3,3,Male,8,90,9,Accept & Trust
1743431180.0053592,Stage 3,4,Female,8,90,9,Accept & Trust
1743431200.8074954,Stage 4,1,Male,6,50,7,Reject & Distrust
1743431228.4605381,Stage 4,2,Female,6,50,7,Reject & Distrust
1743431240.358958,Stage 4,3,Male,8,90,9,Accept & Trust
1743431251.1256378,Stage 4,4,Female,8,90,9,Accept & Trust
1743431265.17159,Stage 4,4,Female,8,90,9,Accept & Trust
